  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-21 02:54:26 /build/assets/app-CasETRYy.js ........................................................ ~ 2.39ms
  2026-05-21 02:54:26 /images/logo.svg ..................................................................... ~ 1.90ms
  2026-05-21 02:54:26 /favicon.ico ......................................................................... ~ 0.33ms
  2026-05-21 02:54:31 /admin/rooms/delete-by-type .............................................................. ~ 1s
  2026-05-21 02:54:32 /favicon.ico ......................................................................... ~ 0.34ms
  2026-05-21 02:55:56 /favicon.ico ......................................................................... ~ 0.84ms
  2026-05-21 02:55:58 /favicon.ico ......................................................................... ~ 1.13ms
  2026-05-21 02:55:58 /dashboard ............................................................................... ~ 3s
  2026-05-21 02:56:01 /admin/dashboard ......................................................................... ~ 1s
  2026-05-21 02:56:02 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.47ms
  2026-05-21 02:56:02 /build/assets/app-CasETRYy.js ........................................................ ~ 2.93ms
  2026-05-21 02:56:02 /images/logo.svg ..................................................................... ~ 4.83ms
  2026-05-21 02:56:02 /favicon.ico ......................................................................... ~ 0.33ms
  2026-05-21 02:56:05 /admin/bookings .......................................................................... ~ 1s
  2026-05-21 02:56:05 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.43ms
  2026-05-21 02:56:06 /build/assets/app-CasETRYy.js ........................................................ ~ 2.35ms
  2026-05-21 02:56:06 /images/logo.svg ..................................................................... ~ 4.92ms
  2026-05-21 02:56:06 /favicon.ico ......................................................................... ~ 1.96ms
  2026-05-21 02:56:07 /favicon.ico ......................................................................... ~ 0.77ms
  2026-05-21 02:56:09 /admin/bookings .......................................................................... ~ 1s
  2026-05-21 02:56:09 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.38ms
  2026-05-21 02:56:09 /build/assets/app-CasETRYy.js ........................................................ ~ 0.33ms
  2026-05-21 02:56:09 /images/logo.svg ..................................................................... ~ 1.92ms
  2026-05-21 02:56:09 /favicon.ico ......................................................................... ~ 0.32ms
  2026-05-21 02:56:11 /favicon.ico ......................................................................... ~ 0.87ms
  2026-05-21 02:57:02 /admin/bookings ......................................................................... ~ 18s
  2026-05-21 02:57:21 /admin/bookings .......................................................................... ~ 4s
  2026-05-21 02:57:21 /admin/bookings .......................................................................... ~ 4s
  2026-05-21 02:57:25 /build/assets/app-DHbK4RWE.css ..................................................... ~ 514.73ms
  2026-05-21 02:57:26 /build/assets/app-CasETRYy.js ........................................................ ~ 2.34ms
  2026-05-21 02:57:26 /images/logo.svg ..................................................................... ~ 4.76ms
  2026-05-21 02:57:26 /favicon.ico ......................................................................... ~ 0.36ms
  2026-05-21 02:57:31 /favicon.ico ......................................................................... ~ 0.76ms
  2026-05-21 02:57:33 /admin/bookings .................................................................... ~ 506.21ms
  2026-05-21 02:57:33 /build/assets/app-DHbK4RWE.css ..................................................... ~ 508.04ms
